"","fecha","num_casos","num_hosp","num_uci","num_def","grupo"
"1",2020-05-11,1179,151,6,122,"Todos"
"2",2020-05-12,733,153,5,114,"Todos"
"3",2020-05-13,810,124,12,87,"Todos"
"4",2020-05-14,788,120,7,87,"Todos"
"5",2020-05-15,801,129,7,77,"Todos"
"6",2020-05-16,349,66,4,63,"Todos"
"7",2020-05-17,244,62,8,61,"Todos"
"8",2020-05-18,634,93,14,72,"Todos"
"9",2020-05-19,855,69,7,70,"Todos"
"10",2020-05-20,751,78,5,57,"Todos"
"11",2020-05-21,781,79,10,69,"Todos"
"12",2020-05-22,823,79,7,71,"Todos"
"13",2020-05-23,315,45,4,60,"Todos"
"14",2020-05-24,262,51,2,55,"Todos"
"15",2020-05-25,550,76,7,68,"Todos"
"16",2020-05-26,743,74,4,54,"Todos"
"17",2020-05-27,622,69,5,46,"Todos"
"18",2020-05-28,661,67,3,44,"Todos"
"19",2020-05-29,735,48,7,45,"Todos"
"20",2020-05-30,338,65,5,43,"Todos"
"21",2020-05-31,183,38,7,40,"Todos"
"22",2020-06-01,362,47,1,34,"Todos"
"23",2020-06-02,479,57,3,47,"Todos"
"24",2020-06-03,605,82,9,39,"Todos"
"25",2020-06-04,519,54,5,48,"Todos"
"26",2020-06-05,652,66,6,24,"Todos"
"27",2020-06-06,274,38,3,29,"Todos"
"28",2020-06-07,144,46,5,21,"Todos"
"29",2020-06-08,348,64,2,30,"Todos"
"30",2020-06-09,451,54,1,15,"Todos"
"31",2020-06-10,463,41,7,31,"Todos"
"32",2020-06-11,385,30,6,25,"Todos"
"33",2020-06-12,497,38,5,20,"Todos"
"34",2020-06-13,124,26,2,23,"Todos"
"35",2020-06-14,88,32,1,20,"Todos"
"36",2020-06-15,300,28,4,20,"Todos"
"37",2020-06-16,400,34,4,11,"Todos"
"38",2020-06-17,364,33,4,26,"Todos"
"39",2020-06-18,392,42,3,12,"Todos"
"40",2020-06-19,352,43,1,17,"Todos"
"41",2020-06-20,231,38,4,14,"Todos"
"42",2020-06-21,168,19,2,15,"Todos"
"43",2020-06-22,250,38,7,7,"Todos"
"44",2020-06-23,454,30,4,8,"Todos"
"45",2020-06-24,348,38,6,12,"Todos"
"46",2020-06-25,375,40,7,12,"Todos"
"47",2020-06-26,486,41,3,9,"Todos"
"48",2020-06-27,262,36,3,2,"Todos"
"49",2020-06-28,191,23,0,12,"Todos"
"50",2020-06-29,285,40,5,11,"Todos"
"51",2020-06-30,456,35,4,11,"Todos"
"52",2020-07-01,460,26,1,10,"Todos"
"53",2020-07-02,496,30,2,1,"Todos"
"54",2020-07-03,600,45,3,5,"Todos"
"55",2020-07-04,307,37,3,7,"Todos"
"56",2020-07-05,210,27,3,2,"Todos"
"57",2020-07-06,346,42,3,3,"Todos"
"58",2020-07-07,722,47,4,6,"Todos"
"59",2020-07-08,762,34,3,5,"Todos"
"60",2020-07-09,864,51,3,1,"Todos"
"61",2020-07-10,1172,51,5,5,"Todos"
"62",2020-07-11,621,40,4,7,"Todos"
"63",2020-07-12,393,37,4,2,"Todos"
"64",2020-07-13,892,62,6,2,"Todos"
"65",2020-07-14,1324,78,5,4,"Todos"
"66",2020-07-15,1597,70,2,5,"Todos"
"67",2020-07-16,1642,75,3,2,"Todos"
"68",2020-07-17,2138,94,7,3,"Todos"
"69",2020-07-18,1564,50,3,3,"Todos"
"70",2020-07-19,1161,68,3,6,"Todos"
"71",2020-07-20,1630,86,8,8,"Todos"
"72",2020-07-21,2357,82,4,8,"Todos"
"73",2020-07-22,2362,112,10,4,"Todos"
"74",2020-07-23,2381,107,4,4,"Todos"
